Included,Name,Label,Last EVS,Last WVS,
1,A001,Important in life: Family,EVS 2008 ,WVS6 (2010-2012),
1,A002,Important in life: Friends,EVS 2008 ,WVS6 (2010-2012),
0,A003,Important in life: Leisure time,EVS 2008 ,WVS6 (2010-2012),
0,A004,Important in life: Politics,EVS 2008 ,WVS6 (2010-2012),
1,A005,Important in life: Work,EVS 2008 ,WVS6 (2010-2012),
0,A006,Important in life: Religion,EVS 2008 ,WVS6 (2010-2012),
0,A007,Service to others important in life,EVS 1999  ,#N/A,
0,A008,Feeling of happiness,EVS 2008 ,WVS6 (2010-2012),
1,A009,State of health (subjective),EVS 2008 ,WVS6 (2010-2012),
0,A010,Ever felt very excited or interested,EVS 1990        ,#N/A,
0,A011,Ever felt restless,EVS 1990        ,#N/A,
0,A012,Ever felt proud because someone complimented you,EVS 1990        ,#N/A,
0,A013,Ever felt very lonely or remote from other people,EVS 1990        ,#N/A,
0,A014,Ever felt pleased about having accomplished something,EVS 1990        ,#N/A,
0,A015,Ever felt bored,EVS 1990        ,#N/A,
0,A016,Ever felt on top of the world,EVS 1990        ,#N/A,
0,A017,Ever felt depressed or very unhappy,EVS 1990        ,#N/A,
0,A018,Ever felt that things were going your way,EVS 1990        ,#N/A,
0,A019,Ever felt upset because somebody criticized you,EVS 1990        ,#N/A,
0,A020,"When you are home, do you feel relaxed",EVS 1981             ,#N/A,
0,A021,"When you are home, do you feel anxious",EVS 1981             ,#N/A,
0,A022,"When you are home, do you feel happy",EVS 1981             ,#N/A,
0,A023,"When you are home, do you feel aggressive",EVS 1981             ,#N/A,`
0,A024,"When you are home, do you feel secure",EVS 1981             ,#N/A,
0,A025,Respect and love for parents,EVS 2008 ,#N/A,
0,A026,Parents responsibilities to their children,EVS 2008 ,#N/A,
0,a026_01,Children responsibilities to their parents in need at expense of/not sacrifice own well-being,EVS 2008 ,#N/A,
0,A027,Important child qualities: good manners,EVS 2008 ,#N/A,
0,A028,Important child qualities: politeness and neatness,EVS 1981             ,#N/A,
1,A029,Important child qualities: independence,EVS 2008 ,WVS6 (2010-2012),
0,A030,Important child qualities: hard work,EVS 2008 ,WVS6 (2010-2012),
0,A031,Important child qualities: honesty,EVS 1981             ,#N/A,
1,A032,Important child qualities: feeling of responsibility,EVS 2008 ,WVS6 (2010-2012),
0,A033,Important child qualities: patience,EVS 1981             ,#N/A,
0,A034,Important child qualities: imagination,EVS 2008 ,WVS6 (2010-2012),
0,A035,Important child qualities: tolerance and respect for other people,EVS 2008 ,WVS6 (2010-2012),
0,A036,Important child qualities: leadership,EVS 1981             ,#N/A,
0,A037,Important child qualities: self-control,EVS 1981             ,#N/A,
0,A038,Important child qualities: thrift saving money and things,EVS 2008 ,WVS6 (2010-2012),
0,A039,Important child qualities: determination perseverance,EVS 2008 ,WVS6 (2010-2012),
0,A040,Important child qualities: religious faith,EVS 2008 ,WVS6 (2010-2012),
0,A041,Important child qualities: unselfishness,EVS 2008 ,WVS6 (2010-2012),
1,A042,Important child qualities: obedience,EVS 2008 ,WVS6 (2010-2012),
0,A043,Important child qualities: loyalty,EVS 1981             ,#N/A,
0,a043_01,Important child qualities: none,EVS 2008 ,#N/A,
0,a043_01f,Flag variable: learn children at home: none,EVS 2008 ,#N/A,
0,a043_f,Flag variable: learn children at home,EVS 2008 ,#N/A,
0,A043B,Important child qualities: Self-expression,#N/A,WVS6 (2010-2012),
0,A044,What children should learn 1,#N/A,#N/A,
0,A045,What children should learn 2,#N/A,#N/A,
0,A046,Abortion when the mothers health is at risk,EVS 1990        ,#N/A,
0,A047,Abortion when child physically handicapped,EVS 1990        ,#N/A,
0,A048,Abortion when woman not married,EVS 2008 ,#N/A,
0,A049,Abortion if not wanting more children,EVS 2008 ,#N/A,
0,A050,Way of spending leisure time,EVS 1981             ,#N/A,
0,a050_01,Leisure time: meeting nice people,EVS 2008 ,#N/A,
0,a050_02,Leisure time: relaxing,EVS 2008 ,#N/A,
0,a050_03,Leisure time: doing as I want,EVS 2008 ,#N/A,
0,a050_04,Leisure time: learning something new,EVS 2008 ,#N/A,
0,A051,Spend leisure time: alone,EVS 1981             ,#N/A,
0,A052,Spend leisure time: with family,EVS 1981             ,#N/A,
0,A053,Spend leisure time: with friends,EVS 1981             ,#N/A,
0,A054,Spend leisure time: in a lively place,EVS 1981             ,#N/A,
0,A055,Spend leisure time: all equally,EVS 1981             ,#N/A,
0,A056,Spend leisure time with: don’t know,EVS 1981             ,#N/A,
0,A057,Spend time with parents or other relatives,#N/A,#N/A,
0,A058,Spend time with friends,EVS 1999  ,#N/A,
0,A059,Spend time with colleagues from work,EVS 1999  ,#N/A,
0,A060,"Spend time with people at your church, mosque or synagogue",EVS 1999  ,#N/A,
0,A061,"Spend time with people at sport, culture, communal organization",EVS 1999  ,#N/A,
0,A062,How often discusses political matters with friends,EVS 2008 ,#N/A,
0,A063,"Persuading friends, relatives or fellow workers",EVS 1990        ,#N/A,
0,A064,Member: Belong to social welfare service for elderly,EVS 2008 ,#N/A,
1,A065,Member: Belong to religious organization,EVS 2008 ,#N/A,
0,A066,"Member: Belong to education, arts, music or cultural activities",EVS 2008 ,#N/A,
0,A067,Member: Belong to labour unions,EVS 2008 ,#N/A,
0,A068,Member: Belong to political parties,EVS 2008 ,#N/A,
0,A069,Member: Belong to local political actions,EVS 2008 ,#N/A,
0,A070,Member: Belong to human rights,EVS 2008 ,#N/A,
0,A071,"Member: Belong to conservation, the environment, ecology, animal rights",EVS 2008 ,#N/A,
0,A071B,"Member: Belong to conservation, the environment, ecology",EVS 1990        ,#N/A,
0,A071C,Member: Belong to animal rights,EVS 1990        ,#N/A,
0,A072,Member: Belong to professional associations,EVS 2008 ,#N/A,
0,A073,Member: Belong to youth work,EVS 2008 ,#N/A,
1,A074,Member: Belong to sports or recreation,EVS 2008 ,#N/A,
0,A075,Member: Belong to women´s group,EVS 2008 ,#N/A,
0,A076,Member: Belong to peace movement,EVS 2008 ,#N/A,
0,A077,Member: Belong to organization concerned with health,EVS 2008 ,#N/A,
0,A078,Belong: Cconsumer groups,EVS 1981             ,#N/A,
0,A079,Member: Belong to other groups,EVS 2008 ,#N/A,
0,A080,Member: Belong to none,EVS 2008 ,#N/A,
0,a080_f,Flag variable: do you belong to: none,EVS 2008 ,#N/A,
0,A081,"Voluntary work: Unpaid work social welfare service for elderly, handicapped or deprived people",EVS 2008 ,#N/A,
0,A082,Voluntary work: Unpaid work religious or church organization,EVS 2008 ,#N/A,
0,A083,"Voluntary work: Unpaid work education, arts, music or cultural activities",EVS 2008 ,#N/A,
0,A084,Voluntary work: Unpaid work labour unions,EVS 2008 ,#N/A,
0,A085,Voluntary work: Unpaid work political parties or groups,EVS 2008 ,#N/A,
0,A086,Voluntary work: Unpaid work local political action groups,EVS 2008 ,#N/A,
0,A087,Voluntary work: Unpaid work human rights,EVS 2008 ,#N/A,
0,A088,"Voluntary work: Unpaid work environment, conservation, animal rights",EVS 2008 ,#N/A,
0,A088B,"Voluntary work: Unpaid work environment, conservation, ecology",EVS 1990        ,#N/A,
0,A088C,Voluntary work: Unpaid work animal rights,EVS 1990        ,#N/A,
0,A089,Voluntary work: Unpaid work professional associations,EVS 2008 ,#N/A,
0,A090,Voluntary work: Unpaid work youth work,EVS 2008 ,#N/A,
0,A091,Voluntary work: Unpaid work sports or recreation,EVS 2008 ,#N/A,
0,A092,Voluntary work: Unpaid work women´s group,EVS 2008 ,#N/A,
0,A093,Voluntary work: Unpaid work peace movement,EVS 2008 ,#N/A,
0,A094,Voluntary work: Unpaid work organization concerned with health,EVS 2008 ,#N/A,
0,A095,Voluntary work: Unpaid work consumer groups,EVS 1981             ,#N/A,
0,A096,Voluntary work: Unpaid work other groups,EVS 2008 ,#N/A,
0,A097,Voluntary work: Unpaid work none,EVS 2008 ,#N/A,
0,a097_f,Flag variable: do you work unpaid for: none,EVS 2008 ,#N/A,
1,A098,Active/Inactive membership of church or religious organization,#N/A,WVS6 (2010-2012),
1,A099,Active/Inactive membership of sport or recreation,#N/A,WVS6 (2010-2012),
0,A100,"Active/Inactive membership of art, music, educational",#N/A,WVS6 (2010-2012),
0,A101,Active/Inactive membership of labour unions,#N/A,WVS6 (2010-2012),
0,A102,Active/Inactive membership of political party,#N/A,WVS6 (2010-2012),
0,A103,Active/Inactive membership of environmental organization,#N/A,WVS6 (2010-2012),
0,A104,Active/Inactive membership of professional organization,#N/A,WVS6 (2010-2012),
0,A105,Active/Inactive membership of charitable/humanitarian organization,#N/A,WVS6 (2010-2012),
0,A106,Active/Inactive membership of any other organization,#N/A,WVS6 (2010-2012),
0,A106B,Active/Inactive membership: Consumer organization,#N/A,WVS6 (2010-2012),
0,A106C,"Active/Inactive membership: Self-help group, mutual aid group",#N/A,WVS6 (2010-2012),
0,A107,Reasons voluntary work: Solidarity with the poor and disadvantaged,EVS 1990        ,#N/A,
0,A108,Reasons voluntary work: Compassion for those in need,EVS 1990        ,#N/A,
0,A109,Reasons voluntary work: Opportunity to repay something,EVS 1990        ,#N/A,
0,A110,"Reasons voluntary work: Sense of duty, moral, obligation",EVS 1990        ,#N/A,
0,A111,Reasons voluntary work: Identifying with people who suffer,EVS 1990        ,#N/A,
0,A112,Reasons voluntary work: Time on my hands,EVS 1990        ,#N/A,
0,A113,Reasons voluntary work: Personal satisfaction,EVS 1990        ,#N/A,
0,A114,Reasons voluntary work: Religious belief,EVS 1990        ,#N/A,
0,A115,Reasons voluntary work: Help disadvantaged people,EVS 1990        ,#N/A,
0,A116,Reasons voluntary work: Make a contribution to my local community,EVS 1990        ,#N/A,
0,A117,Reasons voluntary work: Bring about social or political change,EVS 1990        ,#N/A,
0,A118,Reasons voluntary work: For social reasons,EVS 1990        ,#N/A,
0,A119,Reasons voluntary work: Gain new skills and useful experience,EVS 1990        ,#N/A,
0,A120,"Reasons voluntary work: Did not want to, but could not refuse",EVS 1990        ,#N/A,
0,A121,Dislike being with people with different ideas,EVS 1981             ,#N/A,
0,A122,Do you ever feel very lonely,EVS 1981             ,#N/A,
0,A123,People´s will to help each other today,EVS 1981             ,#N/A,
0,A124_01,Neighbours: People with a criminal record,EVS 2008 ,#N/A,
0,A124_02,Neighbours: People of a different race,EVS 2008 ,WVS6 (2010-2012),
0,A124_03,Neighbours: Heavy drinkers,EVS 2008 ,WVS6 (2010-2012),
0,A124_04,Neighbours: Emotionally unstable people,EVS 2008 ,#N/A,
0,A124_05,Neighbours: Muslims,EVS 2008 ,#N/A,
0,A124_06,Neighbours: Immigrants/foreign workers,EVS 2008 ,WVS6 (2010-2012),
0,A124_07,Neighbours: People who have AIDS,EVS 2008 ,WVS6 (2010-2012),
0,A124_08,Neighbours: Drug addicts,EVS 2008 ,WVS6 (2010-2012),
0,A124_09,Neighbours: Homosexuals,EVS 2008 ,WVS6 (2010-2012),
0,A124_10,Neighbours: Jews,EVS 2008 ,#N/A,
0,A124_11,Neighbours: Evangelists,#N/A,#N/A,
0,A124_12,Neighbours: People of a different religion,#N/A,WVS6 (2010-2012),
0,A124_13,Neighbours: People of the same religion,#N/A,#N/A,
0,A124_14,Neighbours: Militant minority,#N/A,#N/A,
0,A124_15,Neighbours: Zoroastrians,#N/A,#N/A,
0,A124_16,Neighbours: People not from country of origin,#N/A,#N/A,
0,A124_17,Neighbours: Gypsies,EVS 2008 ,WVS6 (2010-2012),
0,A124_18,Neighbours: Political Extremists,#N/A,#N/A,
0,A124_19,Neighbours: Trafficants,#N/A,#N/A,
0,A124_20,Neighbours: Indians or Lebanese,#N/A,#N/A,
0,A124_21,Neighbours: Chinese or Philippino Chinese,#N/A,#N/A,
0,A124_22,Neighbours: Spiritists,#N/A,#N/A,
0,A124_23,Neighbours: Protestants,#N/A,#N/A,
0,A124_24,Neighbours: Christians,EVS 2008 ,#N/A,
0,A124_25,Neighbours: Witchdoctors and related labels,#N/A,#N/A,
0,A124_26,Neighbours: Left wing extremists,EVS 2008 ,#N/A,
0,A124_27,Neighbours: Right wing extremists,EVS 2008 ,#N/A,
0,A124_28,Neighbours: People with large families,EVS 2008 ,#N/A,
0,A124_29,Neighbours: Hindus,EVS 1999  ,#N/A,
0,A124_30,Neighbours: North-American persons,#N/A,#N/A,
0,A124_31,Neighbours: Haitians,#N/A,#N/A,
0,A124_32,Neighbours: Members of new religious movements,#N/A,#N/A,
0,A124_33,"Neighbours: Jews, Arabs, Asians, gypsies, etc",#N/A,#N/A,
0,A124_34,Neighbours: Black people,#N/A,#N/A,
0,A124_35,Neighbours: White people,#N/A,#N/A,
0,A124_36,Neighbours: Coloured people,#N/A,#N/A,
0,A124_37,Neighbours: Indians,#N/A,#N/A,
0,A124_38,"Neighbours: Kurds, Esids",#N/A,#N/A,
0,A124_39,Neighbours: Students,EVS 1981             ,#N/A,
0,A124_40,Neighbours: Unmarried mothers,EVS 1981             ,#N/A,
0,A124_41,Neighbours: Members of minority religious sects or cults,EVS 1981             ,#N/A,
0,A124_42,Neighbours: Unmarried couples living together,#N/A,WVS6 (2010-2012),
0,A124_43,Neighbours: People who speak a different language,#N/A,WVS6 (2010-2012),
0,A124_44,Neighbours: Members of ETA (terrorists),#N/A,#N/A,
0,A124_45,Neighbours: Sunnis,#N/A,#N/A,
0,A124_46,Neighbours: Shia,#N/A,#N/A,
0,A124_47,Neighbours: French,#N/A,#N/A,
0,A124_48,Neighbours: British,#N/A,#N/A,
0,A124_49,Neighbours: Iranian,#N/A,#N/A,
0,A124_50,Neighbours: Kuwaiti,#N/A,#N/A,
0,A124_51,Neighbours: Turkish,#N/A,#N/A,
0,A124_52,Neighbours: Jordanian,#N/A,#N/A,
0,A124_53,Neighbours: Kildani,#N/A,#N/A,
0,A124_54,Neighbours: Indigenes; Aborigenes,#N/A,#N/A,
0,A124_55,Neighbours: Maori,#N/A,#N/A,
0,A124_56,Neighbours: Pacific Islanders,#N/A,#N/A,
0,A124_57,Neighbours: Europeans/Pakeha,#N/A,#N/A,
0,A124_58,Neighbours: Americans,#N/A,#N/A,
0,A124_59,Neighbours: Chaldean,#N/A,#N/A,
0,A124_60,Neighbours: Mapuches,#N/A,#N/A,
0,A124_61,Neighbours: Russians,#N/A,#N/A,
1,A165,Most people can be trusted,EVS 2008 ,WVS6 (2010-2012),
0,A166,Young peoples trust in older people,EVS 1981             ,#N/A,
0,A167,Older peoples trust in young people,EVS 1981             ,#N/A,
0,A168,Do you think most people try to take advantage of you,EVS 1999  ,WVS6 (2010-2012),
0,a168_01,Most of the time people try to be helpful or mostly looking out for themselves,EVS 2008 ,#N/A,
0,A168A,Do you think most people try to take advantage of you (10 point scale),EVS 2008 ,WVS6 (2010-2012),
0,A169,Good human relationships,EVS 1999  ,#N/A,
1,A170,Satisfaction with your life,EVS 2008 ,WVS6 (2010-2012),
0,A171,Satisfaction with your life 5 years ago,EVS 1981             ,#N/A,
0,A172,Expected satisfaction with your life in 5 years,EVS 1981             ,#N/A,
1,A173,How much freedom of choice and control,EVS 2008 ,WVS6 (2010-2012),
0,A174,Membership consumer organisation,#N/A,#N/A,
0,A189,Schwartz: It is important to this person to think up new ideas and be creative,#N/A,WVS6 (2010-2012),
0,A190,Schwartz: It is important to this person to be rich,#N/A,WVS6 (2010-2012),
1,A191,Schwartz: It is important to this person living in secure surroundings,#N/A,WVS6 (2010-2012),
1,A192,Schwartz: It is important to this person to have a good time,#N/A,WVS6 (2010-2012),
0,A193,Schwartz: It is important to this person to help the people nearby,#N/A,WVS6 (2010-2012),
0,A194,Schwartz: It is important to this person being very successful,#N/A,WVS6 (2010-2012),
0,A195,Schwartz: It is important to this person adventure and taking risks,#N/A,WVS6 (2010-2012),
1,A196,Schwartz: It is important to this person to always behave properly,#N/A,WVS6 (2010-2012),
0,A197,Schwartz: It is important to this person looking after the environment,#N/A,WVS6 (2010-2012),
0,A198,Schwartz: It is important to this person tradition,#N/A,WVS6 (2010-2012),
1,A199,Schwartz: It is important to this person to do something for the good of society,#N/A,WVS6 (2010-2012),
1,A200,Social position: People in their 20s,#N/A,WVS6 (2010-2012),
1,A201,Social position: People in their 40s,#N/A,WVS6 (2010-2012),
1,A202,Social position: People in their 70s,#N/A,WVS6 (2010-2012),
0,A203,Is a 30-year old boss acceptable,#N/A,WVS6 (2010-2012),
0,A204,People over 70: are seen as friendly,#N/A,WVS6 (2010-2012),
0,A205,People over 70: are seen as competent,#N/A,WVS6 (2010-2012),
1,A206,People over 70: viewed with respect,#N/A,WVS6 (2010-2012),
0,A207,Is a 70-year old boss acceptable,#N/A,WVS6 (2010-2012),
0,A208,Older people are not respected much these days,#N/A,WVS6 (2010-2012),
0,A209,Older people get more than their fair share from the government,#N/A,WVS6 (2010-2012),
1,A210,Older people are a burden on society,#N/A,WVS6 (2010-2012),
0,A211,Companies that employ young people perform better than those that employ people of different ages,#N/A,WVS6 (2010-2012),
0,A212,Old people have too much political influence,#N/A,WVS6 (2010-2012),
0,A213,I see myself as someone who: is reserved,#N/A,WVS6 (2010-2012),
0,A214,I see myself as someone who: is generally trusting,#N/A,WVS6 (2010-2012),
0,A215,I see myself as someone who: tends to be lazy,#N/A,WVS6 (2010-2012),
0,A216,"I see myself as someone who: is relaxed, handles stress well",#N/A,WVS6 (2010-2012),
0,A217,I see myself as someone who: has few artistic interests,#N/A,WVS6 (2010-2012),
0,A218,"I see myself as someone who: is outgoing, sociable",#N/A,WVS6 (2010-2012),
0,A219,I see myself as someone who: tends to find fault with others,#N/A,WVS6 (2010-2012),
0,A220,I see myself as someone who: does a thorough job,#N/A,WVS6 (2010-2012),
0,A221,I see myself as someone who: gets nervous easily,#N/A,WVS6 (2010-2012),
0,A222,I see myself as someone who: has an active imagination,#N/A,WVS6 (2010-2012),
9,,Environment,#N/A,#N/A,
0,B001,Would give part of my income for the environment,EVS 2008 ,#N/A,
0,B002,Increase in taxes if used to prevent environmental pollution,EVS 1999  ,#N/A,
0,B003,Government should reduce environmental pollution,EVS 1999  ,#N/A,
0,B004,Would buy things at a 20% higher price if it helped to protect environment,#N/A,#N/A,
0,B005,All talk about the environment make people anxious,EVS 1990        ,#N/A,
0,B006,"Combatting unemployment, we have to accept environmental problems",EVS 1990        ,#N/A,
0,B007,Protecting environment and fighting pollution is less urgent than suggested,EVS 1990        ,#N/A,
0,B008,Protecting environment vs. Economic growth,EVS 1999  ,WVS6 (2010-2012),
0,B009,Human & nature,EVS 1999  ,#N/A,
0,B010,[Country]s environmental problems can be solved without any international agreements to handle them,#N/A,#N/A,
0,B011,Environmental action: chosen products that are better for environment,#N/A,#N/A,
0,B012,Environmental action: recycle,#N/A,#N/A,
0,B013,Environmental action: reduce water consumption,#N/A,#N/A,
0,B014,"Environmental action: attend meeting, signed petition",#N/A,#N/A,
0,B015,Environmental action: contributed to environmental organization,#N/A,#N/A,
0,B016,Tradition vs. high economic growth,#N/A,#N/A,
0,B017,Humanity has a bright or bleak future,#N/A,#N/A,
0,B018,Environmental problems in your community: Poor water quality.,#N/A,#N/A,
0,B019,Environmental problems in your community: Poor air quality.,#N/A,#N/A,
0,B020,Environmental problems in your community: Poor sewage and sanitation.,#N/A,#N/A,
0,B021,Environmental problems in the world: Global warming or the greenhouse effect.,#N/A,#N/A,
0,B022,Environmental problems in the world: Loss of plant or animal species or biodiversity.,#N/A,#N/A,
0,B023,"Environmental problems in the world: Pollution of rivers, lakes and oceans.",#N/A,#N/A,
0,b024,Environment: approaching the limit of people,EVS 2008 ,#N/A,
0,b025,Environment: interference produces disastrous consequences,EVS 2008 ,#N/A,
0,b026,Environment: human ingenuity insures earth remaining fit,EVS 2008 ,#N/A,
0,b027,Environment: nature is strong enough to cope with impacts of industry,EVS 2008 ,#N/A,
0,b028,Environment: humans were meant to rule over nature,EVS 2008 ,#N/A,
0,b029,Environment: if things continue we will experience a catastrophe,EVS 2008 ,#N/A,
0,b030,Past two years: given money to ecological organization,#N/A,WVS6 (2010-2012),
0,b031,Past two years: participated in demonstration for environment,#N/A,WVS6 (2010-2012),
9,,Work,#N/A,#N/A,
0,C001,Jobs scarce: Men should have more right to a job than women,EVS 2008 ,WVS6 (2010-2012),
0,C002,Jobs scarce: Employers should give priority to (nation) people than immigrants,EVS 2008 ,WVS6 (2010-2012),
0,C003,Jobs scarce: Jobs to local people,EVS 1999  ,#N/A,
0,C004,Jobs scarce: older people should be forced to retire,EVS 1990        ,#N/A,
0,C005,Unfair to give work to handicapped people when able bodied people can´t find jobs,EVS 1990        ,#N/A,
1,C006,Satisfaction with financial situation of household,EVS 1990        ,WVS6 (2010-2012),
0,C007,Financial situation of household in 12months,EVS 1981             ,#N/A,
0,C008,Work compared with Leisure,#N/A,#N/A,
0,C009,"First choice, if looking for a job",#N/A,#N/A,
0,C010,Second choice if looking for a job,#N/A,#N/A,
0,C011,Important in a job: good pay,EVS 2008 ,#N/A,
0,C012,Important in a job: not too much pressure,EVS 2008 ,#N/A,
0,C013,Important in a job: good job security,EVS 2008 ,#N/A,
0,C014,Important in a job: a respected job,EVS 1999  ,#N/A,
0,C015,Important in a job: good hours,EVS 2008 ,#N/A,
0,C016,Important in a job: an opportunity to use initiative,EVS 2008 ,#N/A,
0,C017,Important in a job: generous holidays,EVS 2008 ,#N/A,
0,C018,Important in a job: that you can achieve something,EVS 2008 ,#N/A,
0,C019,Important in a job: a responsible job,EVS 2008 ,#N/A,
0,C020,Important in a job: a job that is interesting,EVS 2008 ,#N/A,
0,C021,Important in a job: a job that meets one´s abilities,EVS 2008 ,#N/A,
0,C022,Important in a job: pleasant people to work with,EVS 2008 ,#N/A,
0,C023,Important in a job: good chances for promotion,EVS 1999  ,#N/A,
0,C024,Important in a job: a useful job for society,EVS 2008 ,#N/A,
0,C025,Important in a job: meeting people,EVS 2008 ,#N/A,
0,C026,Important in a job: good physical working conditions,EVS 1999  ,#N/A,
0,C027,Important in a job: to have time off at the weekends,EVS 1999  ,#N/A,
0,c027_1,Important in a job: learning new skills,EVS 2008 ,#N/A,
0,c027_2,Important in a job: family friendly,EVS 2008 ,#N/A,
0,c027_3,Important in a job: have a say,EVS 2008 ,#N/A,
0,c027_4,Important in a job: people treated equally,EVS 2008 ,#N/A,
0,C028,Important in a job: none of these,EVS 2008 ,#N/A,
0,c028_f,Flag variable: important in a job: none of these,EVS 2008 ,#N/A,
0,C029,Employed,EVS 2008 ,#N/A,
0,C030,Look forward to work after weekend,EVS 1981             ,#N/A,
0,C031,Degree of pride in your work,EVS 1990        ,#N/A,
0,C032,Often exploited in your job,EVS 1981             ,#N/A,
0,C033,Job satisfaction,EVS 2008 ,#N/A,
0,C034,Freedom decision taking in job,EVS 2008 ,#N/A,
0,C035,Satisfaction job security,EVS 1999  ,#N/A,
0,C036,To develop talents you need to have a job,EVS 2008 ,#N/A,
1,C037,Humiliating to receive money without having to work for it,EVS 2008 ,#N/A,
1,C038,People who don´t work turn lazy,EVS 2008 ,#N/A,
0,C039,Work is a duty towards society,EVS 2008 ,#N/A,
0,C040,People should not have to work if they don´t want to,EVS 1999  ,#N/A,
0,C041,Work should come first even if it means less spare time,EVS 2008 ,#N/A,
0,C042B1,Why people work: work is like a business transaction,EVS 1990        ,#N/A,
0,C042B2,Why people work: I do the best I can regardless of pay,EVS 1990        ,#N/A,
0,C042B3,Why people work: I wouldn’t work if I didn’t have to,EVS 1990        ,#N/A,
0,C042B4,Why people work: I wouldn´t work if work interfered my life,EVS 1990        ,#N/A,
0,C042B5,Why people work: work most important in my life,EVS 1990        ,#N/A,
0,C042B6,Why people work: I never had a paid job,EVS 1990        ,#N/A,
0,C042B7,Why people work: don’t know,EVS 1990        ,#N/A,
0,C049,Paid free days: find extra work for money,EVS 1981             ,#N/A,
0,C050,Paid free days: use spare time to study,EVS 1981             ,#N/A,
0,C051,Paid free days: spend time with family and friends,EVS 1981             ,#N/A,
0,C052,Paid free days: find additional work to avoid boredom,EVS 1981             ,#N/A,
0,C053,Paid free days: use spare time for voluntary work,EVS 1981             ,#N/A,
0,C054,Paid free days: spend time on hobbies,EVS 1981             ,#N/A,
0,C055,Paid free days: run own business in spare time,EVS 1981             ,#N/A,
0,C056,Paid free days: spend the time relaxing,EVS 1981             ,#N/A,
0,C057,Paid free days: none of these,EVS 1981             ,#N/A,
0,C058,Paid free days: don’t know,EVS 1981             ,#N/A,
