Country code,Country ISO,EVS waves,WVS waves
56,BEL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
124,CAN,['1981-1984' '1990-1993'],['1999-2004' '2005-2009']
208,DNK,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
250,FRA,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009']
276,DEU,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
352,ISL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
372,IRL,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
380,ITA,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009']
470,MLT,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
528,NLD,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['2005-2009' '2010-2014']
578,NOR,['1981-1984' '1990-1993' '2008-2010'],['1994-1998' '2005-2009']
724,ESP,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
752,SWE,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009' '2010-2014']
826,GBR,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009']
840,USA,['1981-1984' '1990-1993'],['1981-1984' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
909,Nan,['1981-1984' '1990-1993' '1999-2001' '2008-2010'],[]
40,AUT,['1990-1993' '1999-2001' '2008-2010'],[]
100,BGR,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009']
203,CZE,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998']
233,EST,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2010-2014']
246,FIN,['1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009']
348,HUN,['1990-1993' '1999-2001' '2008-2010'],['1981-1984' '1994-1998' '2005-2009']
428,LVA,['1990-1993' '1999-2001' '2008-2010'],['1994-1998']
440,LTU,['1990-1993' '1999-2001' '2008-2010'],['1994-1998']
616,POL,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998' '2005-2009' '2010-2014']
620,PRT,['1990-1993' '1999-2001' '2008-2010'],[]
642,ROU,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
703,SVK,['1990-1993' '1999-2001' '2008-2010'],['1989-1993' '1994-1998']
705,SVN,['1990-1993' '1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
112,BLR,['1999-2001' '2008-2010'],['1989-1993' '1994-1998' '2010-2014']
191,HRV,['1999-2001' '2008-2010'],['1994-1998']
300,GRC,['1999-2001' '2008-2010'],[]
442,LUX,['1999-2001' '2008-2010'],[]
643,RUS,['1999-2001' '2008-2010'],['1989-1993' '1994-1998' '2005-2009' '2010-2014']
792,TUR,['1999-2001' '2008-2010'],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
804,UKR,['1999-2001' '2008-2010'],['1994-1998' '2005-2009' '2010-2014']
8,ALB,['2008-2010'],['1994-1998' '1999-2004']
51,ARM,['2008-2010'],['1994-1998' '2010-2014']
70,BIH,['2008-2010'],['1999-2004']
196,CYP,['2008-2010'],['2005-2009' '2010-2014']
197,nan,['2008-2010'],[]
268,GEO,['2008-2010'],['1994-1998' '2005-2009' '2010-2014']
498,MDA,['2008-2010'],['1994-1998' '1999-2004' '2005-2009']
499,MNE,['2008-2010'],['1994-1998' '1999-2004']
688,SRB,['2008-2010'],['1994-1998' '1999-2004' '2005-2009']
756,CHE,['2008-2010'],['1989-1993' '1994-1998' '2005-2009']
807,MKD,['2008-2010'],['1994-1998' '1999-2004']
915,nan,['2008-2010'],[]
32,ARG,[],['1981-1984' '1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
36,AUS,[],['1981-1984' '1994-1998' '2005-2009' '2010-2014']
392,JPN,[],['1981-1984' '1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
410,KOR,[],['1981-1984' '1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
484,MEX,[],['1981-1984' '1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
710,ZAF,[],['1981-1984' '1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
76,BRA,[],['1989-1993' '1994-1998' '2005-2009' '2010-2014']
152,CHL,[],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
156,CHN,[],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
356,IND,[],['1989-1993' '1994-1998' '1999-2004' '2005-2009' '2010-2014']
566,NGA,[],['1989-1993' '1994-1998' '1999-2004' '2010-2014']
31,AZE,[],['1994-1998' '2010-2014']
50,BGD,[],['1994-1998' '1999-2004']
101,nan,[],['1994-1998']
158,TWN,[],['1994-1998' '2005-2009' '2010-2014']
170,COL,[],['1994-1998' '2005-2009' '2010-2014']
214,DOM,[],['1994-1998']
222,SLV,[],['1994-1998']
554,NZL,[],['1994-1998' '2005-2009' '2010-2014']
586,PAK,[],['1994-1998' '1999-2004' '2010-2014']
604,PER,[],['1994-1998' '1999-2004' '2005-2009' '2010-2014']
608,PHL,[],['1994-1998' '1999-2004' '2010-2014']
630,PRI,[],['1994-1998' '1999-2004']
858,URY,[],['1994-1998' '2005-2009' '2010-2014']
862,VEN,[],['1994-1998' '1999-2004']
914,nan,[],['1994-1998']
12,DZA,[],['1999-2004' '2010-2014']
360,IDN,[],['1999-2004' '2005-2009']
364,IRN,[],['1999-2004' '2005-2009']
368,IRQ,[],['1999-2004' '2005-2009' '2010-2014']
376,ISR,[],['1999-2004']
400,JOR,[],['1999-2004' '2005-2009' '2010-2014']
417,KGZ,[],['1999-2004' '2010-2014']
504,MAR,[],['1999-2004' '2005-2009' '2010-2014']
682,SAU,[],['1999-2004']
702,SGP,[],['1999-2004' '2010-2014']
704,VNM,[],['1999-2004' '2005-2009']
716,ZWE,[],['1999-2004' '2010-2014']
800,UGA,[],['1999-2004']

818,EGY,[],['1999-2004' '2005-2009' '2010-2014']
834,TZA,[],['1999-2004']
20,AND,[],['2005-2009']
231,ETH,[],['2005-2009']
288,GHA,[],['2005-2009' '2010-2014']
320,GTM,[],['2005-2009']
344,HKG,[],['2005-2009' '2010-2014']
458,MYS,[],['2005-2009' '2010-2014']
466,MLI,[],['2005-2009']
646,RWA,[],['2005-2009' '2010-2014']
764,THA,[],['2005-2009' '2010-2014']
780,TTO,[],['2005-2009' '2010-2014']
854,BFA,[],['2005-2009']
894,ZMB,[],['2005-2009']
218,ECU,[],['2010-2014']
275,PSE,[],['2010-2014']
332,HTI,[],['2010-2014']
398,KAZ,[],['2010-2014']
414,KWT,[],['2010-2014']
422,LBN,[],['2010-2014']
434,LBY,[],['2010-2014']
634,QAT,[],['2010-2014']
788,TUN,[],['2010-2014']
860,UZB,[],['2010-2014']
887,YEM,[],['2010-2014']
