Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,gid
WVS,2010-2014,840,USA,840001,US: New England,USA.20_1
WVS,2010-2014,840,USA,840001,US: New England,USA.46_1
WVS,2010-2014,840,USA,840001,US: New England,USA.30_1
WVS,2010-2014,840,USA,840001,US: New England,USA.22_1
WVS,2010-2014,840,USA,840001,US: New England,USA.40_1
WVS,2010-2014,840,USA,840001,US: New England,USA.7_1
WVS,2010-2014,840,USA,840002,US: Middle Atlantic States,USA.33_1
WVS,2010-2014,840,USA,840002,US: Middle Atlantic States,USA.31_1
WVS,2010-2014,840,USA,840002,US: Middle Atlantic States,USA.39_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.8_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.21_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.9_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.47_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.49_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.10_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.11_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.41_1
WVS,2010-2014,840,USA,840003,US: South Atlantic,USA.34_1
WVS,2010-2014,840,USA,840006,US: East North Central,USA.14_1
WVS,2010-2014,840,USA,840006,US: East North Central,USA.15_1
WVS,2010-2014,840,USA,840006,US: East North Central,USA.23_1
WVS,2010-2014,840,USA,840006,US: East North Central,USA.36_1
WVS,2010-2014,840,USA,840006,US: East North Central,USA.50_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.16_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.17_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.24_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.26_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.28_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.35_1
WVS,2010-2014,840,USA,840007,US: West North Central,USA.42_1
WVS,2010-2014,840,USA,840004,US: East South Central,USA.1_1
WVS,2010-2014,840,USA,840004,US: East South Central,USA.18_1
WVS,2010-2014,840,USA,840004,US: East South Central,USA.25_1
WVS,2010-2014,840,USA,840004,US: East South Central,USA.43_1
WVS,2010-2014,840,USA,840005,US: West South Central,USA.4_1
WVS,2010-2014,840,USA,840005,US: West South Central,USA.19_1
WVS,2010-2014,840,USA,840005,US: West South Central,USA.37_1
WVS,2010-2014,840,USA,840005,US: West South Central,USA.44_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.3_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.6_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.13_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.27_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.29_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.32_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.45_1
WVS,2010-2014,840,USA,840008,US: Rocky Mountain state,USA.51_1
WVS,2010-2014,840,USA,840013,US: Pacific,USA.2_1
WVS,2010-2014,840,USA,840013,US: Pacific,USA.5_1
WVS,2010-2014,840,USA,840013,US: Pacific,USA.12_1
WVS,2010-2014,840,USA,840013,US: Pacific,USA.38_1
WVS,2010-2014,840,USA,840013,US: Pacific,USA.48_1
,,,,,,
WVS,2010-2014,156,CHN,156001,CN: Beijing,CHN.2_1
WVS,2010-2014,156,CHN,156002,CN: Hebei Province,CHN.10_1
WVS,2010-2014,156,CHN,156003,CN: Shanxi Province,CHN.25_1
WVS,2010-2014,156,CHN,156005,CN: Liaoning Province,CHN.18_1
WVS,2010-2014,156,CHN,156006,CN: Jilin,CHN.17_1
WVS,2010-2014,156,CHN,156007,CN: Heilongjiang Province,CHN.11_1
WVS,2010-2014,156,CHN,156008,CN: Shanghai,CHN.24_1
WVS,2010-2014,156,CHN,156009,CN: Jiangsu Province,CHN.15_1
WVS,2010-2014,156,CHN,156010,CN: Zhejiang Province,CHN.31_1
WVS,2010-2014,156,CHN,156011,CN: Anhui Province,CHN.1_1
WVS,2010-2014,156,CHN,156012,CN: Fujian Province,CHN.4_1
WVS,2010-2014,156,CHN,156013,CN: Jiangxi Province,CHN.16_1
WVS,2010-2014,156,CHN,156014,CN: Shandong Province,CHN.23_1
WVS,2010-2014,156,CHN,156015,CN: Henan Province,CHN.12_1
WVS,2010-2014,156,CHN,156016,CN: Hubei Province,CHN.13_1
WVS,2010-2014,156,CHN,156017,CN: Hunan Province,CHN.14_1
WVS,2010-2014,156,CHN,156018,CN: Guangdong Province,CHN.6_1
WVS,2010-2014,156,CHN,156019,CN: Guangxi Province,CHN.7_1
WVS,2010-2014,156,CHN,156020,CN: Sichuan,CHN.26_1
WVS,2010-2014,156,CHN,156021,CN: Guizhou Province,CHN.8_1
WVS,2010-2014,156,CHN,156024,CN: Shaannxi Province,CHN.22_1
WVS,2010-2014,156,CHN,156032,CN: Chongqing,CHN.3_1
WVS,2010-2014,156,CHN,156033,CN: Gansu,CHN.5_1
WVS,2010-2014,156,CHN,156034,CN: Qinghai,CHN.21_1
,,,,,,
WVS,2010-2014,356,IND,356001,IN: Andhra Pradesh,IND.2_1
WVS,2010-2014,356,IND,356003,IN: Bihar,IND.5_1
WVS,2010-2014,356,IND,356004,IN: Chhatisgarh,IND.7_1
WVS,2010-2014,356,IND,356005,IN: Delhi,IND.25_1
WVS,2010-2014,356,IND,356006,IN: Gujarat,IND.11_1
WVS,2010-2014,356,IND,356007,IN: Haryana,IND.12_1
WVS,2010-2014,356,IND,356008,IN: Jharkhand,IND.15_1
WVS,2010-2014,356,IND,356009,IN: Karnataka,IND.16_1
WVS,2010-2014,356,IND,356010,IN: Kerala,IND.17_1
WVS,2010-2014,356,IND,356011,IN: Madhya Pradesh,IND.19_1
WVS,2010-2014,356,IND,356012,IN: Maharashtra,IND.20_1
WVS,2010-2014,356,IND,356013,IN: Orrisa,IND.26_1
WVS,2010-2014,356,IND,356014,IN: Punjab,IND.28_1
WVS,2010-2014,356,IND,356015,IN: Rajasthan,IND.29_1
WVS,2010-2014,356,IND,356017,IN: Uttar Pradesh,IND.34_1
WVS,2010-2014,356,IND,356018,IN: West Bengal,IND.36_1
WVS,2010-2014,356,IND,356019,IN: Uttarakhand,IND.35_1
,,,,,,
WVS,2010-2014,76,BRA,76038,BR: Amazonas,BRA.4_1
WVS,2010-2014,76,BRA,76039,BR: Pará,BRA.14_1
WVS,2010-2014,76,BRA,76040,BR: Rondônia,BRA.22_1
WVS,2010-2014,76,BRA,76041,BR: Alagoas,BRA.2_1
WVS,2010-2014,76,BRA,76042,BR: Bahia,BRA.5_1
WVS,2010-2014,76,BRA,76043,BR: Ceará,BRA.6_1
WVS,2010-2014,76,BRA,76044,BR: Maranhão,BRA.10_1
WVS,2010-2014,76,BRA,76045,BR: Paraíba,BRA.15_1
WVS,2010-2014,76,BRA,76046,BR: Pernambuco,BRA.17_1
WVS,2010-2014,76,BRA,76047,BR: Sergipe,BRA.26_1
WVS,2010-2014,76,BRA,76048,BR: Distrito Federal,BRA.7_1
WVS,2010-2014,76,BRA,76049,BR: Goiás,BRA.9_1
WVS,2010-2014,76,BRA,76050,BR: Mato Grosso,BRA.12_1
WVS,2010-2014,76,BRA,76051,BR: Mato Grosso do Sul,BRA.11_1
WVS,2010-2014,76,BRA,76052,BR: Espírito Santo,BRA.8_1
WVS,2010-2014,76,BRA,76053,BR: Minas Gerais,BRA.13_1
WVS,2010-2014,76,BRA,76054,BR: Rio de Janeiro,BRA.19_1
WVS,2010-2014,76,BRA,76055,BR: São Paulo,BRA.25_1
WVS,2010-2014,76,BRA,76056,BR: Paraná,BRA.16_1
WVS,2010-2014,76,BRA,76057,BR: Santa Catarina,BRA.24_1
WVS,2010-2014,76,BRA,76058,BR: Rio Grande do Sul,BRA.21_1
,,,,,,
WVS,2005-2009,360,IDN,360004,ID: West java province,IDN.9_1
WVS,2005-2009,360,IDN,360005,ID: Central Java province,IDN.10_1
WVS,2005-2009,360,IDN,360010,ID: Banten,IDN.4_1
WVS,2005-2009,360,IDN,360011,ID: DKI,IDN.7_1
WVS,2005-2009,360,IDN,360012,ID: Dareah Istimewa Yogyakarta,IDN.33_1
WVS,2005-2009,360,IDN,360013,ID: East Java,IDN.11_1
WVS,2005-2009,360,IDN,360014,ID: Lampung,IDN.17_1
WVS,2005-2009,360,IDN,360015,ID: West Nusa Tenggara,IDN.20_1
WVS,2005-2009,360,IDN,360016,ID: South Kalimantan,IDN.13_1
WVS,2005-2009,360,IDN,360017,ID: Center Sulawesi,IDN.27_1
,,,,,,
WVS,2010-2014,792,TUR,792041,TR: Istambul,TUR.40_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,TUR.73_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,TUR.28_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,TUR.50_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,TUR.12_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,TUR.22_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.11_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.41_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.25_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.59_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.56_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.3_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.54_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,TUR.77_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.21_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.32_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.16_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.52_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.66_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.27_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.19_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,TUR.79_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,TUR.7_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,TUR.53_1
WVS,2010-2014,792,TUR,792045,TR: Western Anatolia,TUR.44_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.8_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.39_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.20_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.1_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.58_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.37_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.42_1
WVS,2010-2014,792,TUR,792046,TR: Mediterranean,TUR.64_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.49_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.5_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.62_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.61_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.51_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.47_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.72_1
WVS,2010-2014,792,TUR,792047,TR: Central Anatolia,TUR.80_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.81_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.43_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.13_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.46_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.23_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.70_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.67_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.74_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.24_1
WVS,2010-2014,792,TUR,792048,TR: Western Black Sea,TUR.6_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.75_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.63_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.34_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.65_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.10_1
WVS,2010-2014,792,TUR,792049,TR: Eastern Black Sea,TUR.35_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.31_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.30_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.15_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.4_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.45_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.38_1
WVS,2010-2014,792,TUR,792050,TR: North Eastern Anatolia,TUR.9_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.55_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.29_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.17_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.76_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.78_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.60_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.18_1
WVS,2010-2014,792,TUR,792051,TR: East Central Anatolia,TUR.36_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.33_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.2_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.48_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.68_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.26_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.57_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.14_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.71_1
WVS,2010-2014,792,TUR,792052,TR: South Eastern Anatolia,TUR.69_1
,,,,,,
WVS,2010-2014,392,JPN,392011,JP: Hokkaido region,JPN.12_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.3_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.16_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.24_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.2_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.45_1
WVS,2010-2014,392,JPN,392012,JP: Tohoku region,JPN.8_1
WVS,2010-2014,392,JPN,392013,JP: Kita-Kanto region,JPN.14_1
WVS,2010-2014,392,JPN,392013,JP: Kita-Kanto region,JPN.39_1
WVS,2010-2014,392,JPN,392013,JP: Kita-Kanto region,JPN.10_1
WVS,2010-2014,392,JPN,392014,JP: Minami-Kanto region,JPN.35_1
WVS,2010-2014,392,JPN,392014,JP: Minami-Kanto region,JPN.4_1
WVS,2010-2014,392,JPN,392014,JP: Minami-Kanto region,JPN.19_1
WVS,2010-2014,392,JPN,392015,JP: Tokyo,JPN.41_1
WVS,2010-2014,392,JPN,392016,JP: Tokai region,JPN.38_1
WVS,2010-2014,392,JPN,392016,JP: Tokai region,JPN.1_1
WVS,2010-2014,392,JPN,392016,JP: Tokai region,JPN.9_1
WVS,2010-2014,392,JPN,392016,JP: Tokai region,JPN.23_1
WVS,2010-2014,392,JPN,392017,"JP: Hokuriku, Shinetsu region",JPN.15_1
WVS,2010-2014,392,JPN,392017,"JP: Hokuriku, Shinetsu region",JPN.6_1
WVS,2010-2014,392,JPN,392017,"JP: Hokuriku, Shinetsu region",JPN.29_1
WVS,2010-2014,392,JPN,392017,"JP: Hokuriku, Shinetsu region",JPN.43_1
WVS,2010-2014,392,JPN,392017,"JP: Hokuriku, Shinetsu region",JPN.26_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.36_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.22_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.33_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.13_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.28_1
WVS,2010-2014,392,JPN,392018,JP: Kinki region,JPN.44_1
WVS,2010-2014,392,JPN,392019,JP: Chugoku region,JPN.42_1
WVS,2010-2014,392,JPN,392019,JP: Chugoku region,JPN.37_1
WVS,2010-2014,392,JPN,392019,JP: Chugoku region,JPN.31_1
WVS,2010-2014,392,JPN,392019,JP: Chugoku region,JPN.11_1
WVS,2010-2014,392,JPN,392019,JP: Chugoku region,JPN.46_1
WVS,2010-2014,392,JPN,392020,JP: Shikoku region,JPN.40_1
WVS,2010-2014,392,JPN,392020,JP: Shikoku region,JPN.17_1
WVS,2010-2014,392,JPN,392020,JP: Shikoku region,JPN.5_1
WVS,2010-2014,392,JPN,392020,JP: Shikoku region,JPN.20_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.7_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.34_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.27_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.21_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.30_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.25_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.18_1
WVS,2010-2014,392,JPN,392021,JP: Kyushu region,JPN.32_1
,,,,,,
WVS,2010-2014,484,MEX,484101,MX: Aguascalientes,MEX.1_1
